summary,hybrid_binary,explanation,classification,sentId
"The sentence simply describes a machine's mechanical functions (sewing, trimming) without attributing feeling, vitality, or human qualities to it, nor describing humans mechanically.",No,"None of these words ('a, is, ,, here, same, trimming, ., at') indicate emotional/living qualities or human agency being projected onto the machine; they are neutral structural or functional terms describing mechanical action.",neutral,8192
The sentence simply describes a room with sewing machines and girls working; no blending of mechanical and living/emotional registers occurs.,No,"Words like 'sewing', 'machines', 'girls', 'work', 'furnished' are used in a purely descriptive, literal sense. There is no attribution of feeling or agency to machines, nor mechanical qualities to the girls—just neutral factual reporting.",neutral,1
"The sentence describes sewing machines 'at work,' a subtle personification implying activity typically associated with human labor, suggesting a mild hybrid framing rather than purely mechanical description.",Yes,"‘Were at work’ implies machines actively laboring, a human-like activity; ‘sewing machines’ and ‘showroom’ are neutral setting terms; ‘more’ and ‘there’ are structural, non-descriptive words with no bearing on tone.",anthropomorphism,2
"The sentence simply depicts Katie working at a sewing machine, described as 'quiet and industrious.' These qualities describe her human demeanor, not a merging of mechanical and living registers; the machine remains a passive tool.",No,"sewing, work, sat, machine: refer to the physical object and action, no vitality implied. quiet, industrious: human traits describing Katie’s manner, not projected onto the machine. Other words (they, went, upstairs, where, and, before, katie, a, .) are structural, carrying no anthropomorphic or technomorphic weight.",neutral,3
"The sentence describes a human, Dick, in mechanical terms—working 'like a machine,' lacking interest and spirit—projecting mechanical qualities onto a person, which is technomorphism, but this is not a hybrid blending since it casts machine-likeness as the opposite of vitality.",No,"'Like' signals simile comparing Dick to a machine. 'Work' is the activity rendered mechanical. 'Fool', ',', ';' are structural/descriptive but not central to the mechanical-human mapping. 'A' is grammatical, irrelevant to meaning.",technomorphism,4
"The sentence compares a sensible young man to a machine, denying he truly is one but admitting he may 'appear' mechanical, thus blending human and mechanical registers rather than opposing them outright.",Yes,"{'fool': 'Refers to human folly, contrasted with mechanical behavior, reinforcing the human-machine comparison.', 'man': 'The human subject being compared to a machine, central to the technomorphic framing.', '.': ""Marks the sentence's assertion boundary, no independent relevance."", ',': 'Separates clauses contrasting being and appearing, structuring the comparison.', 'he': 'Pronoun referring to the man, maintaining the subject of the human-machine analogy.'}",technomorphism,5
"The sentence contrasts machine-like behavior (no passion, no ambition) with human ardor, reinforcing the opposition between mechanical and living/emotional registers rather than blending them.",No,"'boy' is the human subject described in mechanical terms ('like a machine'), but this description opposes machine-likeness to passion/ambition, maintaining rather than merging the mechanical/living divide.",technomorphism,6
"The sewing machine is described as 'buzzing,' a vitality-tinged verb suggesting activity akin to a living sound, blending mechanical function with animate quality, reflecting mild hybridity between machine and living registers.",Yes,"'Buzz' anthropomorphizes the machine by giving it a life-like sound associated with insects/activity. 'Sewing machine' and 'ceased' frame its action as if pausing like a living entity. 'Gown,' 'completed,' 'clock,' 'before,' 'messenger,' 'placed,' 'box,' 'it,' 'o,' 'and' are neutral structural or narrative words without hybrid significance.",anthropomorphism,11
"The sentence contrasts a horrified, emotional human (Katie) with a mechanical object (sewing machine) and a diminished human figure, but does not blend living and mechanical qualities into one entity.",No,"{'sewing': 'Refers to the sewing machine, a mechanical object mentioned but not endowed with life or feeling.', '""': 'Punctuation marking speech, not relevant to hybridity.', 'figure': ""Describes a human ('stooping figure') but does not merge mechanical and living traits."", '.': 'Punctuation, not relevant.', 'cried': ""Human emotional action, shows Katie's vitality but not machine hybridity."", 'stooping': 'Describes human posture, could imply diminishment but not mechanical framing.', 'katie': 'The human subject expressing emotion, not linked to machine qualities.', ',': 'Punctuation, not relevant.', 'little': ""Describes the human figure's size, not mechanical or emotional hybridity."", 'eyes': 'Human feature expressing emotion (horror), purely human.', 'horror': 'Emotional reaction of a human, not extended to the machine.', 'great': ""Modifies 'eyes', emphasizing human emotional intensity, unrelated to hybridity.""}",neutral,12
"The narrator describes his own prior work as mechanical, lacking responsibility, implying human behavior in machine-like terms. This reflects technomorphism, not a true hybrid interpenetration of vitality and mechanism.",No,"'Man' refers to a human generalization, tied to mechanical framing of behavior; 'a' is a grammatical article with no thematic weight regarding hybridity or anthropomorphism.",technomorphism,8214
