currentSentence,pred_bert_1760_1900,genre,date,decade,id,pred_bert_1760_1900_human,summary,hybrid_binary,explanation,classification,sentId
"Here is a machine sewing seams, and, at the same time, trimming the edges.","[('man', 0.14), ('machine', 0.08), ('hand', 0.04), ('woman', 0.04), ('boy', 0.03), ('little', 0.02), ('-', 0.02), ('system', 0.02), ('constant', 0.02), ('hundred', 0.02), ('method', 0.01), ('process', 0.01), ('great', 0.01), ('thousand', 0.01), ('foreman', 0.01), ('constantly', 0.01), ('complete', 0.01), ('needle', 0.01), ('power', 0.01), ('person', 0.01)]",Non-fiction,1891,1890,8192,"{'man': 0.14, 'hand': 0.04, 'woman': 0.04, 'boy': 0.03, 'foreman': 0.01, 'person': 0.01}","The sentence simply describes a machine's mechanical functions (sewing, trimming) without attributing feeling, vitality, or human qualities to it, nor describing humans mechanically.",No,"None of these words ('a, is, ,, here, same, trimming, ., at') indicate emotional/living qualities or human agency being projected onto the machine; they are neutral structural or functional terms describing mechanical action.",neutral,8192
"In an upper room, furnished with eight or ten sewing machines, there sat as many girls at work.","[('machines', 0.94), ('tables', 0.01), ('needles', 0.01), ('machine', 0.01), ('girls', 0.0), ('frames', 0.0), ('materials', 0.0), ('apparatus', 0.0), ('chairs', 0.0), ('things', 0.0), ('presses', 0.0), ('women', 0.0), ('cases', 0.0), ('appliances', 0.0), ('engines', 0.0), ('rooms', 0.0), ('tubes', 0.0), ('blocks', 0.0), ('sticks', 0.0), ('tools', 0.0)]",Fiction,1889,1880,1,"{'girls': 0.0, 'women': 0.0}",The sentence simply describes a room with sewing machines and girls working; no blending of mechanical and living/emotional registers occurs.,No,"Words like 'sewing', 'machines', 'girls', 'work', 'furnished' are used in a purely descriptive, literal sense. There is no attribution of feeling or agency to machines, nor mechanical qualities to the girls—just neutral factual reporting.",neutral,1
"Downstairs there was a showroom, quite a humble kind of show room, in which one or two more sewing machines were at work.","[('women', 0.45), ('girls', 0.3), ('ladies', 0.09), ('people', 0.03), ('men', 0.03), ('hands', 0.02), ('maids', 0.02), ('children', 0.01), ('females', 0.01), ('machines', 0.0), ('assistants', 0.0), ('workers', 0.0), ('parties', 0.0), ('persons', 0.0), ('sisters', 0.0), ('boys', 0.0), ('folk', 0.0), ('##men', 0.0), ('masters', 0.0), ('classes', 0.0)]",Fiction,1889,1880,2,"{'women': 0.45, 'girls': 0.3, 'ladies': 0.09, 'people': 0.03, 'men': 0.03, 'hands': 0.02, 'children': 0.01, 'females': 0.01, 'assistants': 0.0, 'workers': 0.0, 'persons': 0.0, 'boys': 0.0, '##men': 0.0, 'masters': 0.0, 'classes': 0.0}","The sentence describes sewing machines 'at work,' a subtle personification implying activity typically associated with human labor, suggesting a mild hybrid framing rather than purely mechanical description.",Yes,"‘Were at work’ implies machines actively laboring, a human-like activity; ‘sewing machines’ and ‘showroom’ are neutral setting terms; ‘more’ and ‘there’ are structural, non-descriptive words with no bearing on tone.",anthropomorphism,2
"They went upstairs where Katie sat at work before a sewing machine, quiet and industrious.","[('machine', 0.58), ('woman', 0.18), ('girl', 0.09), ('table', 0.03), ('desk', 0.02), ('needle', 0.01), ('stool', 0.01), ('basket', 0.01), ('lady', 0.0), ('fire', 0.0), ('room', 0.0), ('child', 0.0), ('teacher', 0.0), ('pattern', 0.0), ('man', 0.0), ('bureau', 0.0), ('frame', 0.0), ('chair', 0.0), ('wheel', 0.0), ('carpet', 0.0)]",Fiction,1889,1880,3,"{'woman': 0.18, 'girl': 0.09, 'lady': 0.0, 'child': 0.0, 'teacher': 0.0, 'man': 0.0}","The sentence simply depicts Katie working at a sewing machine, described as 'quiet and industrious.' These qualities describe her human demeanor, not a merging of mechanical and living registers; the machine remains a passive tool.",No,"sewing, work, sat, machine: refer to the physical object and action, no vitality implied. quiet, industrious: human traits describing Katie’s manner, not projected onto the machine. Other words (they, went, upstairs, where, and, before, katie, a, .) are structural, carrying no anthropomorphic or technomorphic weight.",neutral,3
"Dick was no fool, but he did his work like a machine; he took no interest in his work; he was spiritless.","[('man', 0.4), ('machine', 0.33), ('boy', 0.06), ('child', 0.05), ('fool', 0.04), ('master', 0.02), ('gentleman', 0.01), ('dog', 0.0), ('carpenter', 0.0), ('blacksmith', 0.0), ('tailor', 0.0), ('mechanic', 0.0), ('tool', 0.0), ('woman', 0.0), ('genius', 0.0), ('giant', 0.0), ('lad', 0.0), ('horse', 0.0), ('monkey', 0.0), ('soldier', 0.0)]",Fiction,1889,1880,4,"{'man': 0.4, 'boy': 0.06, 'child': 0.05, 'fool': 0.04, 'master': 0.02, 'gentleman': 0.01, 'carpenter': 0.0, 'blacksmith': 0.0, 'tailor': 0.0, 'mechanic': 0.0, 'woman': 0.0, 'genius': 0.0, 'giant': 0.0, 'lad': 0.0, 'soldier': 0.0}","The sentence describes a human, Dick, in mechanical terms—working 'like a machine,' lacking interest and spirit—projecting mechanical qualities onto a person, which is technomorphism, but this is not a hybrid blending since it casts machine-likeness as the opposite of vitality.",No,"'Like' signals simile comparing Dick to a machine. 'Work' is the activity rendered mechanical. 'Fool', ',', ';' are structural/descriptive but not central to the mechanical-human mapping. 'A' is grammatical, irrelevant to meaning.",technomorphism,4
"Now a young man who is not a fool cannot be, though he may appear to be, a machine.","[('man', 0.38), ('child', 0.09), ('fool', 0.06), ('king', 0.06), ('boy', 0.05), ('gentleman', 0.03), ('prince', 0.03), ('father', 0.02), ('genius', 0.02), ('son', 0.01), ('poet', 0.01), ('philosopher', 0.01), ('giant', 0.01), ('hero', 0.01), ('dreamer', 0.01), ('god', 0.01), ('mortal', 0.01), ('monster', 0.0), ('baby', 0.0), ('wizard', 0.0)]",Fiction,1889,1880,5,"{'man': 0.38, 'child': 0.09, 'fool': 0.06, 'king': 0.06, 'boy': 0.05, 'gentleman': 0.03, 'prince': 0.03, 'father': 0.02, 'genius': 0.02, 'son': 0.01, 'poet': 0.01, 'philosopher': 0.01, 'giant': 0.01, 'hero': 0.01, 'dreamer': 0.01, 'god': 0.01, 'mortal': 0.01, 'monster': 0.0, 'baby': 0.0}","The sentence compares a sensible young man to a machine, denying he truly is one but admitting he may 'appear' mechanical, thus blending human and mechanical registers rather than opposing them outright.",Yes,"{'fool': 'Refers to human folly, contrasted with mechanical behavior, reinforcing the human-machine comparison.', 'man': 'The human subject being compared to a machine, central to the technomorphic framing.', '.': ""Marks the sentence's assertion boundary, no independent relevance."", ',': 'Separates clauses contrasting being and appearing, structuring the comparison.', 'he': 'Pronoun referring to the man, maintaining the subject of the human-machine analogy.'}",technomorphism,5
"His father was right in mistrusting a boy who went about his work like a machine, and seemed to have no passion, no pursuit, no ambition — who committed no small follies, and had none of the headlong faults of ardent youth.","[('boy', 0.3), ('man', 0.27), ('child', 0.15), ('madman', 0.03), ('dog', 0.02), ('fool', 0.01), ('gentleman', 0.01), ('girl', 0.01), ('youth', 0.01), ('machine', 0.01), ('soldier', 0.01), ('lad', 0.01), ('master', 0.01), ('squirrel', 0.0), ('lover', 0.0), ('butterfly', 0.0), ('bird', 0.0), ('bee', 0.0), ('sailor', 0.0), ('slave', 0.0)]",Fiction,1889,1880,6,"{'boy': 0.3, 'man': 0.27, 'child': 0.15, 'madman': 0.03, 'fool': 0.01, 'gentleman': 0.01, 'girl': 0.01, 'youth': 0.01, 'soldier': 0.01, 'lad': 0.01, 'master': 0.01, 'sailor': 0.0, 'slave': 0.0}","The sentence contrasts machine-like behavior (no passion, no ambition) with human ardor, reinforcing the opposition between mechanical and living/emotional registers rather than blending them.",No,"'boy' is the human subject described in mechanical terms ('like a machine'), but this description opposes machine-likeness to passion/ambition, maintaining rather than merging the mechanical/living divide.",technomorphism,6
"93 It was nine o 'clock before the sewing machine ceased to buzz, and then the completed gown had to be placed in a box and despatched by a special messenger.","[('machine', 0.43), ('machines', 0.18), ('needles', 0.12), ('had', 0.04), ('girls', 0.02), ('women', 0.01), ('crowd', 0.01), ('wheel', 0.01), ('pins', 0.01), ('machinery', 0.01), ('bee', 0.01), ('ladies', 0.0), ('party', 0.0), ('class', 0.0), ('people', 0.0), ('needle', 0.0), ('jenny', 0.0), ('gear', 0.0), ('world', 0.0), ('classes', 0.0)]",Fiction,1894,1890,11,"{'girls': 0.02, 'women': 0.01, 'crowd': 0.01, 'ladies': 0.0, 'people': 0.0, 'classes': 0.0}","The sewing machine is described as 'buzzing,' a vitality-tinged verb suggesting activity akin to a living sound, blending mechanical function with animate quality, reflecting mild hybridity between machine and living registers.",Yes,"'Buzz' anthropomorphizes the machine by giving it a life-like sound associated with insects/activity. 'Sewing machine' and 'ceased' frame its action as if pausing like a living entity. 'Gown,' 'completed,' 'clock,' 'before,' 'messenger,' 'placed,' 'box,' 'it,' 'o,' 'and' are neutral structural or narrative words without hybrid significance.",anthropomorphism,11
""" cried Katie, fixing great eyes full of horror on the little stooping figure beside the sewing machine.","[('machine', 0.73), ('table', 0.11), ('wheel', 0.03), ('basket', 0.02), ('girl', 0.01), ('woman', 0.01), ('machines', 0.01), ('stool', 0.01), ('desk', 0.01), ('needles', 0.01), ('needle', 0.01), ('chair', 0.0), ('child', 0.0), ('girls', 0.0), ('frame', 0.0), ('carpet', 0.0), ('gown', 0.0), ('stick', 0.0), ('man', 0.0), ('block', 0.0)]",Fiction,1894,1890,12,"{'girl': 0.01, 'woman': 0.01, 'child': 0.0, 'girls': 0.0, 'man': 0.0}","The sentence contrasts a horrified, emotional human (Katie) with a mechanical object (sewing machine) and a diminished human figure, but does not blend living and mechanical qualities into one entity.",No,"{'sewing': 'Refers to the sewing machine, a mechanical object mentioned but not endowed with life or feeling.', '""': 'Punctuation marking speech, not relevant to hybridity.', 'figure': ""Describes a human ('stooping figure') but does not merge mechanical and living traits."", '.': 'Punctuation, not relevant.', 'cried': ""Human emotional action, shows Katie's vitality but not machine hybridity."", 'stooping': 'Describes human posture, could imply diminishment but not mechanical framing.', 'katie': 'The human subject expressing emotion, not linked to machine qualities.', ',': 'Punctuation, not relevant.', 'little': ""Describes the human figure's size, not mechanical or emotional hybridity."", 'eyes': 'Human feature expressing emotion (horror), purely human.', 'horror': 'Emotional reaction of a human, not extended to the machine.', 'great': ""Modifies 'eyes', emphasizing human emotional intensity, unrelated to hybridity.""}",neutral,12
"Until his death, my work had been almost that of a machine; I had never had any responsibility; after wards the sense of it, doubled by its exceeding newness, by my peculiar temperament, and by other facts which it is needless now 122 LORD ERLISTOUN. to particularize, yet which passively, if not actively, will always influence a man 's life — never left me for a moment.","[('child', 0.23), ('slave', 0.11), ('servant', 0.08), ('boy', 0.08), ('man', 0.05), ('master', 0.03), ('lifetime', 0.02), ('machine', 0.02), ('father', 0.02), ('soldier', 0.02), ('clerk', 0.02), ('life', 0.01), ('teacher', 0.01), ('god', 0.01), ('day', 0.01), ('minister', 0.01), ('subordinate', 0.01), ('mechanic', 0.0), ('cipher', 0.0), ('genius', 0.0)]",Fiction,1857,1850,8214,"{'child': 0.23, 'slave': 0.11, 'servant': 0.08, 'boy': 0.08, 'man': 0.05, 'master': 0.03, 'father': 0.02, 'soldier': 0.02, 'clerk': 0.02, 'life': 0.01, 'teacher': 0.01, 'god': 0.01, 'minister': 0.01, 'mechanic': 0.0, 'genius': 0.0}","The narrator describes his own prior work as mechanical, lacking responsibility, implying human behavior in machine-like terms. This reflects technomorphism, not a true hybrid interpenetration of vitality and mechanism.",No,"'Man' refers to a human generalization, tied to mechanical framing of behavior; 'a' is a grammatical article with no thematic weight regarding hybridity or anthropomorphism.",technomorphism,8214
